3.161584934421335369e-01,-5.000000000000000000e-01,3.186170097160532233e-01,2.843965500439293859e-01,-4.179661818048416855e-01,2.872794339547040665e-01,9.338314639540321038e-02,3.652731240616921560e-03
2.843965500439293859e-01,-4.179661818048416855e-01,2.872794339547040665e-01,4.028733923675276163e-01,2.622368193961405192e-02,-1.032743912880008386e-01,6.032194357213618296e-01,2.972010404034294492e-03
2.843965500439293859e-01,-4.179661818048416855e-01,2.872794339547040665e-01,-8.133884571447019818e-02,-9.652655561312564747e-02,3.479603403061405364e-01,4.906811443212945600e-01,2.822483009338969465e-03
4.028733923675276163e-01,2.622368193961405192e-02,-1.032743912880008386e-01,4.029429223552238315e-01,3.631410459301515070e-02,-1.076023150189455713e-01,1.097963512892544645e-02,2.972010404034294492e-03
4.029429223552238315e-01,3.631410459301515070e-02,-1.076023150189455713e-01,3.972425502877333647e-01,4.369043924651361266e-02,-1.017046850155633175e-01,1.103116468397704469e-02,2.972010404034294492e-03
3.972425502877333647e-01,4.369043924651361266e-02,-1.017046850155633175e-01,3.864571827645590374e-01,4.965820128175128800e-02,-8.847905347959932054e-02,1.807915003102339088e-02,2.972010404034294492e-03
3.864571827645590374e-01,4.965820128175128800e-02,-8.847905347959932054e-02,3.712740986027735501e-01,5.533116794516763914e-02,-7.048936484834819605e-02,2.421440671330727865e-02,2.972010404034294492e-03
3.712740986027735501e-01,5.533116794516763914e-02,-7.048936484834819605e-02,3.523829488370193164e-01,6.163137834799950476e-02,-4.996595579465377968e-02,2.859682691798817386e-02,2.972010404034294492e-03
3.523829488370193164e-01,6.163137834799950476e-02,-4.996595579465377968e-02,3.304757567195084622e-01,6.928913346628128023e-02,-2.880555522690925879e-02,3.140587257365257817e-02,2.972010404034294492e-03
3.304757567195084622e-01,6.928913346628128023e-02,-2.880555522690925879e-02,3.062469177200236037e-01,7.884299614084491759e-02,-8.571284289057252287e-03,3.298088312422487595e-02,2.972010404034294492e-03
3.062469177200236037e-01,7.884299614084491759e-02,-8.571284289057252287e-03,2.803931995259171250e-01,9.063979107731987006e-02,9.507343639410362895e-03,3.368109117902035043e-02,2.972010404034294492e-03
2.803931995259171250e-01,9.063979107731987006e-02,9.507343639410362895e-03,2.536137420421110678e-01,1.048346048461330782e-01,2.453442294345236502e-02,3.382964962083161858e-02,2.972010404034294492e-03
-8.133884571447019818e-02,-9.652655561312564747e-02,3.479603403061405364e-01,-1.205567283025506253e-01,-6.198923889871200965e-02,3.539132785711478490e-01,5.259568456167450223e-02,2.822483009338969465e-03
-1.205567283025506253e-01,-6.198923889871200965e-02,3.539132785711478490e-01,-1.502115640935416385e-01,-3.666173930449772439e-02,3.572309816696407347e-01,3.913947719803262393e-02,2.822483009338969465e-03
-1.502115640935416385e-01,-3.666173930449772439e-02,3.572309816696407347e-01,-1.721072745306192753e-01,-2.012565645829680894e-02,3.583084878762765046e-01,2.745951913391983176e-02,2.822483009338969465e-03
-1.721072745306192753e-01,-2.012565645829680894e-02,3.583084878762765046e-01,-1.878272733093251656e-01,-1.182534700948750447e-02,3.575135217048301950e-01,1.779453482848741830e-02,2.822483009338969465e-03
-1.878272733093251656e-01,-1.182534700948750447e-02,3.575135217048301950e-01,-1.987344663775668097e-01,-1.106792462901213733e-02,3.551864939081943451e-01,1.117835442525685202e-02,2.822483009338969465e-03
-1.987344663775668097e-01,-1.106792462901213733e-02,3.551864939081943451e-01,-2.059712519356171612e-01,-1.702326000937727166e-02,3.516405014783788863e-01,1.002053626400021755e-02,2.822483009338969465e-03
-2.059712519356171612e-01,-1.702326000937727166e-02,3.516405014783788863e-01,-2.104595204361152105e-01,-2.872398086465364694e-02,3.471613276465123077e-01,1.330843420097724446e-02,2.822483009338969465e-03
-2.104595204361152105e-01,-2.872398086465364694e-02,3.471613276465123077e-01,-2.129006545840655962e-01,-4.506547193047617111e-02,3.420074418828404350e-01,1.730797517468829830e-02,2.822483009338969465e-03
-2.129006545840655962e-01,-4.506547193047617111e-02,3.420074418828404350e-01,-2.137755293368386045e-01,-6.480587496404394132e-02,3.364099998967267080e-01,2.053728985403478410e-02,2.822483009338969465e-03
1.980108469592739562e-01,2.857901687749768715e-01,2.660267705106549863e-01,4.626863727781901359e-01,5.000000000000000000e-01,4.683352607779608379e-01,3.960652862789280637e-01,3.712588109081205179e-03
-8.450946119277681634e-02,-7.781252052789666696e-02,2.873649048304630638e-01,1.980108469592739562e-01,2.857901687749768715e-01,2.660267705106549863e-01,4.609554817581215103e-01,3.161986349296654411e-03
9.041042091596224184e-02,2.757000571370205044e-01,4.840035791361688156e-02,1.980108469592739562e-01,2.857901687749768715e-01,2.660267705106549863e-01,2.429833687671336950e-01,2.694259245955996952e-03
